	Pts.	+/-	EFG%	OReb%	TO%	FTF	Reb	Reb%	DReb%	OReb	DReb	Fouls	Off Foul	Def Foul	Off. PPP	Def. PPP	Net PPP	Opps.	Shots	TO	1 Pt Bonus	2 Pt Fouls	2Pt	2Pt A	2Pt Fouled	2Pt miss	2Pt Rate	2Pt%	2Pt/A	3 Pt Fouls	3Pt	3Pt A	3Pt Fouled	3Pt miss	3Pt Rate	3Pt%	3Pt/A	A/TO	And 1	And-1 Fouls	Ast	Ast%	Ast2	Ast3	ATR %	ATR Att.	ATR Fouled	ATR Made	ATR Rate	ATR/A	Blk	Blk%	Blk/Foul	Blkd	Chrg	Cut	Def. 2Pt%	Def. 3Pt%	Def. Fail	Def. Pace	Def. Poss.	Def. Praise	Def. Rtg	Def. Stop Pct.	Def. Stops	Def. TO	Def. TO%	Deflect	Drib	Events	FG Made	Fouled	FT	FT A	FT miss	FT Trips	FT Violation	FT%	FT/A	FTO	Games	HC 2Pt Rate	HC 2Pt. %	HC 2Pt. ATR %	HC 2Pt. ATR Att.	HC 2Pt. ATR Fouled	HC 2Pt. ATR Made	HC 2Pt. ATR/A	HC 2Pt. Att.	HC 2Pt. Fouled	HC 2Pt. Made	HC 2Pt/A	HC 3Pt Rate	HC 3Pt. %	HC 3Pt. Att.	HC 3Pt. Fouled	HC 3Pt. Made	HC 3Pt/A	Hustle	Kills	LB Foul	Long Mid %	Long Mid Att.	Long Mid Fouled	Long Mid Made	Long Mid Rate	Long Mid/A	Lost Tie Up	MPG	NS Fouls	NS Fouls (Bonus)	Off. Action Tag	Off. Pace	Off. Pos. Score Pct.	Off. Pos. Scored	Off. Poss.	Off. Rtg	Opp DRebs	Opp ORebs	Other Ast	Pace	Pass	Penalty Pt.	Poss.	Pot. Assist	PPG	Qtrs.	Screen Received	Screen Set	Short Mid %	Short Mid Att.	Short Mid Fouled	Short Mid Made	Short Mid Rate	Short Mid/A	Stl	Stl%	Stl/Foul	Team Pts.	Team Pts. Allowed	Tech Foul	Tie Up	Time	Time Out	Trans. 2Pt. %	Trans. 2Pt. ATR %	Trans. 2Pt. ATR Att.	Trans. 2Pt. ATR Made	Trans. 2Pt. ATR/A	Trans. 2Pt. Att.	Trans. 2Pt. Made	Trans. 2Pt. Rate	Trans. 2Pt/A	Trans. 3Pt. %	Trans. 3Pt. Att.	Trans. 3Pt. Made	Trans. 3Pt. Rate	Trans. 3Pt/A	Trans. Fouled	TS%	Usage %	VPS
All Games 	900	-339	30.4%	37.0%	25.3%	0.29	667	42.0%	47.0%	307	360	366	7	358	0.58	0.80	-0.22	1382	1225	469	0	51	354	1148	5	794	93.7%	30.8%	354/1148	0	12	77	0	65	6.3%	15.6%	12/77	0.11	8	45	51	13.9%	0	0	40.2%	533	4	214	43.7%	214/533	64	4.9%	0.67	67	0	0	-	-	0	21.43	1549	0	80.0	0	0	496	24.4%	16	0	3453	366	0	156	355	199	157	0	43.9%	156/355	0	29	33.8%	29.8%	41.0%	178	0	73	73/178	416	0	124	124/416	2.6%	21.9%	32	0	7	7/32	0	148	0	13.6%	154	0	21	12.5%	21/154	1	40:00	157	22	0	23.65	0	0	1539	58.5	523	406	0	22.54	0	0	0	0	31.0	0	0	2	25.8%	461	1	119	37.6%	119/461	227	14.7%	1.45	900	1239	1	6		30	37.9%	44.4%	90	40	40/90	145	55	11.8%	55/145	0.0%	4	0	0.3%	0/4	0	32.6%	-	0.63
@ Keilor 12.5 (37‑34) May 29, 2026  	34	-3	24.4%	50.0%	25.0%	0.56	23	50.0%	50.0%	16	7	15	1	14	0.67	0.70	-0.03	45	41	15	0	1	10	38	0	28	92.7%	26.3%	10/38	0	0	3	0	3	7.3%	0.0%	0/3	0.20	1	1	3	30.0%	0	0	44.4%	18	0	8	43.9%	8/18	2	6.1%	1.00	2	0	0	-	-	0	17.58	53	0	69.8	0	0	24	38.7%	0	0	128	10	0	14	23	9	4	0	60.9%	14/23	0	1	56.1%	26.1%	55.6%	9	0	5	5/9	23	0	6	6/23	2.4%	0.0%	1	0	0	0/1	0	8	0	0.0%	7	0	0	17.1%	0/7	0	40:00	11	2	0	28.79	0	0	51	66.7	16	7	0	23.08	0	0	0	0	34.0	0	0	0	15.4%	13	0	2	31.7%	2/13	6	11.3%	0.55	34	37	0	0		0	30.8%	33.3%	9	3	3/9	13	4	31.7%	4/13	-	0	0	0.0%	0/0	0	33.3%	-	0.60
@ Geelong United 12.3 (46‑23) May 22, 2026  	23	-23	21.6%	28.0%	27.6%	0.30	19	38.8%	50.0%	7	12	9	2	7	0.47	0.92	-0.45	42	37	16	0	0	8	36	0	28	97.3%	22.2%	8/36	0	0	1	0	1	2.7%	0.0%	0/1	0.00	0	0	0	0.0%	0	0	25.0%	16	0	4	43.2%	4/16	3	5.9%	-	0	0	0	-	-	0	21.19	50	0	92.0	0	0	10	15.6%	0	0	96	8	0	7	11	4	5	0	63.6%	7/11	0	1	81.1%	23.3%	28.6%	14	0	4	4/14	30	0	7	7/30	0.0%	-	0	0	0	0/0	0	5	0	12.5%	8	0	1	21.6%	1/8	0	40:00	4	0	0	27.36	0	0	49	46.9	18	12	0	24.24	0	0	0	0	23.0	0	0	0	25.0%	12	0	3	32.4%	3/12	1	2.0%	0.25	23	46	0	0		1	0.0%	0.0%	1	0	0/1	3	0	8.1%	0/3	-	0	0	0.0%	0/0	0	27.5%	-	0.45
@ Broadmeadows 12.3 (47‑32) May 15, 2026  	32	-15	32.2%	30.0%	21.0%	0.20	19	36.5%	45.5%	9	10	13	0	13	0.62	0.90	-0.29	49	45	13	0	2	13	41	0	28	91.1%	31.7%	13/41	0	1	4	0	3	8.9%	25.0%	1/4	0.23	0	2	3	21.4%	0	0	38.7%	31	0	12	68.9%	12/31	2	5.0%	0.50	2	0	0	-	-	0	23.02	52	0	90.4	0	0	15	23.1%	0	0	107	14	0	3	9	6	4	0	33.3%	3/9	0	1	40.0%	33.3%	40.0%	15	0	6	6/15	18	0	6	6/18	4.4%	50.0%	2	0	1	1/2	0	2	0	33.3%	3	0	1	6.7%	1/3	0	40:00	4	1	0	23.14	0	0	52	61.5	21	12	0	23.08	0	0	0	0	32.0	0	0	0	0.0%	7	0	0	15.6%	0/7	3	5.8%	0.75	32	47	0	0		0	26.7%	30.0%	10	3	3/10	15	4	33.3%	4/15	0.0%	1	0	2.2%	0/1	0	32.7%	-	0.56
Whittlesea 12.2 (37‑32) May 8, 2026 	32	-5	38.7%	44.4%	32.1%	0.42	13	38.2%	31.2%	8	5	13	0	13	0.74	0.84	-0.10	36	31	17	0	2	12	30	0	18	96.8%	40.0%	12/30	0	0	1	0	1	3.2%	0.0%	0/1	0.00	0	2	0	0.0%	0	0	66.7%	15	0	10	48.4%	10/15	1	2.9%	0.25	1	0	0	-	-	0	25.81	44	0	84.1	0	0	18	31.6%	0	0	93	12	0	8	13	5	5	0	61.5%	8/13	0	1	54.8%	23.5%	40.0%	5	0	2	2/5	17	0	4	4/17	3.2%	0.0%	1	0	0	0/1	0	2	0	25.0%	8	0	2	25.8%	2/8	0	40:00	8	0	0	29.40	0	0	43	74.4	10	11	0	27.59	0	0	0	0	32.0	0	0	0	0.0%	7	0	0	22.6%	0/7	5	11.4%	0.62	32	37	0	0		0	60.0%	85.7%	7	6	6/7	10	6	32.3%	6/10	-	0	0	0.0%	0/0	0	43.6%	-	0.55
Altona 12.4 (53‑30) May 1, 2026 	30	-23	35.0%	33.3%	31.3%	0.23	19	33.3%	32.3%	9	10	14	0	14	0.52	0.91	-0.40	46	40	21	0	1	14	39	0	25	97.5%	35.9%	14/39	0	0	1	0	1	2.5%	0.0%	0/1	0.10	0	1	2	14.3%	0	0	45.5%	22	0	10	55.0%	10/22	2	3.8%	1.00	1	0	0	-	-	0	23.10	58	0	91.4	0	0	18	22.5%	0	0	119	14	0	2	9	7	6	0	22.2%	2/9	0	1	42.5%	35.3%	40.0%	10	0	4	4/10	17	0	6	6/17	2.5%	0.0%	1	0	0	0/1	0	2	0	33.3%	3	0	1	7.5%	1/3	0	40:00	6	1	0	18.28	0	0	58	51.7	18	21	0	20.69	0	0	0	0	30.0	0	0	0	21.4%	14	0	3	35.0%	3/14	12	20.7%	2.00	30	53	0	0		0	35.3%	45.5%	11	5	5/11	17	6	42.5%	6/17	-	0	0	0.0%	0/0	0	34.1%	-	0.63
@ Coburg 12.2 (52‑15) Apr 24, 2026  	15	-37	23.1%	23.5%	48.2%	0.27	19	32.8%	36.6%	4	15	20	0	20	0.29	0.96	-0.67	29	26	27	0	4	6	24	0	18	92.3%	25.0%	6/24	0	0	2	0	2	7.7%	0.0%	0/2	0.00	1	4	0	0.0%	0	0	30.0%	10	0	3	38.5%	3/10	4	6.8%	0.50	1	0	0	-	-	0	26.91	54	0	96.3	0	0	15	17.0%	0	0	111	6	0	3	7	4	3	0	42.9%	3/7	0	1	65.4%	23.5%	28.6%	7	0	2	2/7	17	0	4	4/17	3.8%	0.0%	1	0	0	0/1	0	3	0	0.0%	2	0	0	7.7%	0/2	0	40:00	9	3	0	18.56	0	0	51	29.4	13	26	0	22.86	0	0	0	0	15.0	0	0	0	25.0%	12	0	3	46.2%	3/12	8	14.8%	0.89	15	52	0	0		0	20.0%	33.3%	3	1	1/3	5	1	19.2%	1/5	0.0%	1	0	3.8%	0/1	0	25.8%	-	0.42
@ Surf Coast 2 (38‑30) Mar 27, 2026  	30	-8	36.4%	31.8%	24.1%	0.52	21	41.2%	48.3%	7	14	13	0	13	0.64	0.79	-0.15	41	33	13	0	3	9	26	0	17	78.8%	34.6%	9/26	0	2	7	0	5	21.2%	28.6%	2/7	0.08	0	3	1	9.1%	0	0	38.5%	13	0	5	39.4%	5/13	2	4.7%	0.33	0	0	0	-	-	0	24.35	48	0	79.2	0	0	14	21.2%	0	0	103	11	0	6	17	11	8	0	35.3%	6/17	0	1	48.5%	25.0%	28.6%	7	0	2	2/7	16	0	4	4/16	12.1%	25.0%	4	0	1	1/4	0	2	0	0.0%	3	0	0	9.1%	0/3	0	40:00	4	0	0	26.19	0	0	47	63.8	15	15	0	25.26	0	0	0	0	30.0	0	0	0	40.0%	10	0	4	30.3%	4/10	3	6.2%	0.75	30	38	0	0		1	50.0%	50.0%	2	1	1/2	4	2	12.1%	2/4	-	0	0	0.0%	0/0	0	37.1%	-	0.59
Keilor 12.4 (54‑26) Mar 20, 2026 	26	-28	28.6%	20.7%	17.9%	0.31	12	27.3%	40.0%	6	6	14	0	14	0.52	1.04	-0.52	46	42	10	0	2	12	40	0	28	95.2%	30.0%	12/40	0	0	2	0	2	4.8%	0.0%	0/2	0.40	0	2	4	33.3%	0	0	47.4%	19	0	9	45.2%	9/19	0	0.0%	0.00	8	0	0	-	-	0	21.26	52	0	103.8	0	0	17	27.0%	0	0	103	12	0	2	13	11	4	0	15.4%	2/13	0	1	64.3%	29.6%	60.0%	10	0	6	6/10	27	0	8	8/27	4.8%	0.0%	2	0	0	0/2	0	3	0	25.0%	4	0	1	9.5%	1/4	0	40:00	9	0	0	25.89	0	0	50	52.0	23	9	0	23.53	0	0	0	0	26.0	0	0	0	11.8%	17	0	2	40.5%	2/17	8	15.4%	0.89	26	54	0	0		1	33.3%	33.3%	6	2	2/6	9	3	21.4%	3/9	-	0	0	0.0%	0/0	0	27.2%	-	0.52
@ Sunbury 12.2 (46‑24) Mar 13, 2026  	24	-22	30.0%	30.0%	42.9%	0.57	21	47.7%	62.5%	6	15	8	0	8	0.42	0.81	-0.39	36	30	27	0	0	9	23	0	14	76.7%	39.1%	9/23	0	0	7	0	7	23.3%	0.0%	0/7	0.07	0	0	2	22.2%	0	0	53.8%	13	0	7	43.3%	7/13	2	4.3%	-	0	0	0	-	-	0	20.25	57	0	80.7	0	0	16	23.9%	0	0	114	9	0	6	17	11	6	0	35.3%	6/17	0	1	63.3%	42.1%	54.5%	11	0	6	6/11	19	0	8	8/19	20.0%	0.0%	6	0	0	0/6	0	4	0	0.0%	2	0	0	6.7%	0/2	0	40:00	3	0	0	21.85	0	0	57	42.1	14	9	0	21.05	0	0	0	0	24.0	0	0	0	25.0%	8	0	2	26.7%	2/8	7	12.3%	2.33	24	46	0	0		1	50.0%	50.0%	2	1	1/2	2	1	6.7%	1/2	-	0	0	0.0%	0/0	0	32.0%	-	0.54
Keilor 12.5 (37‑35) Mar 6, 2026 	35	-2	34.9%	35.5%	13.0%	0.37	18	40.0%	46.7%	11	7	19	0	19	0.73	0.79	-0.06	47	43	7	0	1	15	42	0	27	97.7%	35.7%	15/42	0	0	1	0	1	2.3%	0.0%	0/1	0.29	0	1	2	13.3%	0	0	47.8%	23	0	11	53.5%	11/23	2	6.7%	1.00	3	0	0	-	-	0	27.63	47	0	78.7	0	0	18	30.0%	0	0	116	15	0	5	16	11	4	0	31.2%	5/16	0	1	62.8%	33.3%	40.0%	15	0	6	6/15	27	0	9	9/27	0.0%	-	0	0	0	0/0	0	4	0	16.7%	6	0	1	14.0%	1/6	0	40:00	9	2	0	22.95	0	0	48	72.9	20	8	0	25.26	0	0	0	0	35.0	0	0	0	23.1%	13	0	3	30.2%	3/13	9	19.1%	1.00	35	37	0	0		0	33.3%	60.0%	5	3	3/5	9	3	20.9%	3/9	-	0	0	0.0%	0/0	0	35.0%	-	0.66
Surf Coast 2 (53‑37) Feb 27, 2026 	37	-16	34.5%	44.0%	20.6%	0.48	22	47.8%	52.4%	11	11	13	0	13	0.69	1.00	-0.31	50	42	13	0	2	13	40	0	27	95.2%	32.5%	13/40	0	1	2	0	1	4.8%	50.0%	1/2	0.31	0	2	4	28.6%	0	0	29.4%	17	0	5	40.5%	5/17	2	4.7%	0.50	1	0	0	-	-	0	21.51	53	0	100.0	0	0	13	19.1%	0	0	127	14	0	8	20	12	8	0	40.0%	8/20	0	1	61.9%	34.6%	40.0%	10	0	4	4/10	26	0	9	9/26	4.8%	50.0%	2	0	1	1/2	0	3	0	20.0%	5	0	1	11.9%	1/5	0	40:00	2	0	0	23.33	0	0	54	68.5	14	10	0	22.43	0	0	0	0	37.0	0	0	0	38.9%	18	0	7	42.9%	7/18	11	20.8%	5.50	37	53	0	0		2	30.0%	20.0%	5	1	1/5	10	3	23.8%	3/10	-	0	0	0.0%	0/0	0	36.4%	-	0.78
Eltham 12.4 (41‑32) Feb 20, 2026 	32	-9	35.9%	40.0%	35.8%	0.18	23	44.2%	46.9%	8	15	20	0	20	0.56	0.71	-0.15	43	39	24	0	1	14	37	0	23	94.9%	37.8%	14/37	0	0	2	0	2	5.1%	0.0%	0/2	0.08	0	1	2	14.3%	0	0	80.0%	10	0	8	25.6%	8/10	5	9.6%	2.50	3	0	0	-	-	0	23.92	58	0	70.7	0	0	14	18.2%	0	0	127	14	0	4	7	3	4	0	57.1%	4/7	0	1	69.2%	29.6%	80.0%	5	0	4	4/5	27	0	8	8/27	5.1%	0.0%	2	0	0	0/2	0	7	0	25.0%	4	0	1	10.3%	1/4	0	40:00	12	2	0	17.77	0	0	57	56.1	12	17	0	20.87	0	0	0	0	32.0	0	0	0	21.7%	23	0	5	59.0%	5/23	6	10.3%	0.50	32	41	0	1		1	62.5%	80.0%	5	4	4/5	8	5	20.5%	5/8	-	0	0	0.0%	0/0	0	38.0%	-	0.57
